"id_registro","fecha","usuario","nombre_equipo","marca","modelo","serie","unidad","respuestas","obs","idpdf"
"106","2026-03-13 15:20:21","Martin","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6764","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1773426020568485"
"107","2026-03-13 15:21:38","Jorge","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6755","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1773426097997161"
"108","2026-03-13 15:22:59","Martin","Maquina de anestesia","MINDRAY","A8"," FX6-3B000068
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1773426178497425"
"109","2026-03-04 09:53:36","Patricio","Lavadora de chatas","Tuttnauer","REVO PRO","L22300113","UPC","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Se revisando sensores de nivel de agua y se deja equipo operativo ","1772628815971256"
"110","2026-03-04 09:53:36","Patricio","Lavadora de chatas","Tuttnauer","REVO PRO","L22300113","UPC","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Se revisando sensores de nivel de agua y se deja equipo operativo ","1772628815971256"
"111","2026-03-06 15:14:51","Patricio","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""NA""]","Operativo ","1772820891426412"
"112","2026-03-04 09:53:36","Patricio","Lavadora de chatas","Tuttnauer","REVO PRO","L22300113","UPC","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Se revisando sensores de nivel de agua y se deja equipo operativo ","1772628815971256"
"113","2026-03-06 15:14:51","Patricio","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""NA""]","Operativo ","1772820891426412"
"114","2026-03-20 15:27:30","Jorge","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6755","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1774031249756338"
"115","2026-03-20 15:29:59","Jorge","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6764","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""NO"",""NO"",""OK"",""OK""]","Sin cable de poder y sin revisión. ","1774031398700989"
"116","2026-03-24 11:11:26","Patricio","Videolaringoscopio","","","S/N","DIALISIS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1774361486207217"
"117","2026-03-27 14:41:24","Jorge","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6764","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1774633284051609"
"118","2026-03-27 14:43:49","Jorge","Carro de paro completo ADULTO","MALVESTIO / NIHON KOHDEN","329501 / TEC-5631","6765","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1774633429073950"
"119","2026-03-20 15:20:31","Martin","Maquina de anestesia","MINDRAY","A8"," FX6-3B000065
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1774030830375455"
"120","2026-04-10 15:59:46","Martin","Maquina de anestesia","Dräger","Perseus A500","ASLL-0009","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","","1775851185366633"
